dim,value
MO1,0
MO2,-0.0766
MO3,-0.2668
SC1,0
SC2,-0.0441
SC3,-0.2912
UA1,0
UA2,-0.37
UA3,-0.0538
PD1,0
PD2,-0.0274
PD3,-0.0409
AD1,0
AD2,-0.0359
AD3,-0.1771
